date,Y,dY_obs,dC_obs
2018q1,2322.24638896036,0.00351283123492739,0.00726325830016926
2018q2,2321.42686246948,-0.000153290646084234,0.00464004951844934
2018q3,2333.89133144549,0.00232562536276871,-0.00154568780790037
2018q4,2337.36071906818,0.000645110202092456,-0.00121713637992206
2019q1,2346.65351149676,0.00172322865369384,0.00511416767420694
2019q2,2367.9842842566,0.0039298459463863,0.000572614708568605
2019q3,2375.66909405608,0.00140713207475994,0.0013435910921511
2019q4,2384.05845202411,0.00153095134540572,0.00755143101397844
2020q1,2364.26216970282,-0.0036212659892873,-0.0113243059758415
2020q2,2224.09619469041,-0.0265420661364671,-0.0168776478034384
2020q3,2358.30101414724,0.0254456707097641,0.0187570059656831
2020q4,2359.20419678707,0.000166294354275417,0.00975576692179645
